data;fatturato;settore
24/02/14;2101.19;Pesca
24/02/14;815.97;Snowboard
24/02/14;666.69;Trekking
25/02/14;5524.31;Calcio
25/02/14;5346.38;Casual
25/02/14;1225.59;Fitness
25/02/14;7556.19;Pesca
25/02/14;3056.48;Running
26/02/14;5777.29;Casual
26/02/14;2539.33;Fitness
26/02/14;3183.11;Pesca
26/02/14;762.21;Trekking
27/02/14;1105.25;Basket
27/02/14;1323.84;Calcio
27/02/14;1472.02;Fitness
27/02/14;3217.76;Running
28/02/14;4156.81;Calcio
28/02/14;21845.92;Casual
28/02/14;3314.1;Mare
28/02/14;1925.58;Pesca
28/02/14;1801.14;Rugby
28/02/14;7832.23;Running
01/03/14;4880;Calcio
01/03/14;11566.05;Casual
01/03/14;1635.35;Fitness
01/03/14;557.53;Pesca
01/03/14;5062.3;Running
02/03/14;5636.48;Calcio
02/03/14;3540.88;Casual
02/03/14;736.83;Fitness
02/03/14;648.14;Nuoto
02/03/14;3782.39;Pesca
02/03/14;2128.62;Running
02/03/14;647.05;Tennis
03/03/14;11180.17;Casual
03/03/14;678.16;Fitness
03/03/14;4228.59;Pesca
03/03/14;4680.24;Running
03/03/14;953.24;Trekking
04/03/14;1031.56;Bambino
04/03/14;3918.84;Calcio
04/03/14;3804.5;Casual
04/03/14;2584.64;Fitness
04/03/14;4951.22;Pesca
04/03/14;4775.75;Running
05/03/14;2898.74;Calcio
05/03/14;14347.17;Casual
05/03/14;5347.2;Fitness
05/03/14;4385.23;Pesca
05/03/14;7109.05;Running
05/03/14;953.24;Trekking
06/03/14;6915.83;Calcio
06/03/14;21153.3;Casual
06/03/14;3816.51;Fitness
06/03/14;1356.31;Pesca
06/03/14;3056.48;Running
06/03/14;666.69;Trekking
07/03/14;4834.97;Calcio
07/03/14;9580.43;Casual
07/03/14;1105.25;Fitness
07/03/14;4732.9;Pesca
07/03/14;3397.39;Running
08/03/14;7266.51;Calcio
08/03/14;17251.65;Casual
08/03/14;687.71;Fitness
08/03/14;2438.91;Pesca
08/03/14;2851.7;Running
08/03/14;2431.54;Sci
09/03/14;9402.77;Calcio
09/03/14;7718.7;Casual
09/03/14;817.34;Fitness
09/03/14;3018.82;Pesca
09/03/14;1472.02;Rugby
09/03/14;3307.55;Running
10/03/14;7494.93;Calcio
10/03/14;10254.49;Casual
10/03/14;5402.06;Fitness
10/03/14;5014.81;Pesca
10/03/14;2674.42;Running
10/03/14;7160.9;Sci
10/03/14;671.33;Tennis
11/03/14;1105.25;Basket
11/03/14;7685.14;Calcio
11/03/14;18681.1;Casual
11/03/14;5280.89;Fitness
11/03/14;267.71;Nuoto
11/03/14;5521.31;Pesca
11/03/14;4093.5;Running
11/03/14;979.98;Sci
12/03/14;12014.97;Calcio
12/03/14;30123.25;Casual
12/03/14;6484.92;Fitness
12/03/14;22742.94;Pesca
12/03/14;3766.02;Running
12/03/14;4362.03;Sci
13/03/14;1105.25;Basket
13/03/14;8633.19;Calcio
13/03/14;10302.79;Casual
13/03/14;4226.95;Fitness
13/03/14;8091.21;Pesca
13/03/14;4451;Running
14/03/14;3338.93;Calcio
14/03/14;19181.32;Casual
14/03/14;5719.98;Fitness
14/03/14;8475.46;Pesca
14/03/14;545.8;Running
14/03/14;13459.43;Sci
14/03/14;564.9;Volley
15/03/14;7712.15;Calcio
15/03/14;14030.33;Casual
15/03/14;3782.39;Pesca
15/03/14;6039.33;Running
15/03/14;564.9;Sci
16/03/14;1716.81;Basket
16/03/14;2578.91;Calcio
16/03/14;11588.97;Casual
16/03/14;4437.9;Fitness
16/03/14;11348.55;Pesca
16/03/14;2273.26;Running
17/03/14;5894.91;Calcio
17/03/14;22195.5;Casual
17/03/14;12909.26;Fitness
17/03/14;7490.97;Pesca
17/03/14;2344.92;Running
17/03/14;652.78;Sci
17/03/14;857.18;Subacquea
18/03/14;9074.2;Calcio
18/03/14;19061.52;Casual
18/03/14;2910.75;Fitness
18/03/14;316.84;Nuoto
18/03/14;4548.97;Pesca
18/03/14;4953.03;Running
18/03/14;11298.06;Sci
19/03/14;11536.57;Calcio
19/03/14;9113.5;Casual
19/03/14;2453.64;Fitness
19/03/14;10867.42;Pesca
19/03/14;1801.14;Rugby
19/03/14;3247.51;Running
20/03/14;1623.76;Calcio
20/03/14;13456.15;Casual
20/03/14;1945.23;Fitness
20/03/14;3273.98;Pesca
20/03/14;3847.89;Running
21/03/14;2536.88;Calcio
21/03/14;4636.84;Casual
21/03/14;582.1;Fitness
21/03/14;952.69;Nuoto
21/03/14;1326.02;Pesca
21/03/14;4311.82;Running
21/03/14;8710.97;Snowboard
22/03/14;3663.14;Calcio
22/03/14;8962.31;Casual
22/03/14;3274.8;Fitness
22/03/14;3199.62;Pesca
22/03/14;4311.82;Running
22/03/14;387.52;Subacquea
23/03/14;4619.38;Calcio
23/03/14;10690.31;Casual
23/03/14;216.14;Fitness
23/03/14;734.37;Mare
23/03/14;1345.94;Nuoto
23/03/14;11017.11;Pesca
23/03/14;2947.21;Running
24/03/14;8008.25;Calcio
24/03/14;10644.74;Casual
24/03/14;4900.74;Fitness
24/03/14;18690.51;Pesca
24/03/14;6945.31;Running
24/03/14;2161.37;Sci
25/03/14;750.48;Basket
25/03/14;7482.37;Calcio
25/03/14;10055;Casual
25/03/14;2610.83;Fitness
25/03/14;5663.77;Pesca
25/03/14;6383.13;Running
26/03/14;544.44;Bambino
26/03/14;1105.25;Basket
26/03/14;4119.15;Calcio
26/03/14;24553.09;Casual
26/03/14;486.31;Danza
26/03/14;2706.9;Fitness
26/03/14;638.59;Nuoto
26/03/14;7919.56;Pesca
26/03/14;7163.52;Running
26/03/14;654.96;Tennis
27/03/14;4265.97;Basket
27/03/14;11962.3;Calcio
27/03/14;27067.59;Casual
27/03/14;3688.24;Fitness
27/03/14;633.67;Nuoto
27/03/14;2111.97;Pesca
27/03/14;791.41;Rugby
27/03/14;7832.23;Running
28/03/14;750.48;Basket
28/03/14;9504.56;Calcio
28/03/14;27824.34;Casual
28/03/14;989.26;Fitness
28/03/14;454.38;Nuoto
28/03/14;3541.15;Pesca
28/03/14;7913.99;Running
29/03/14;953.79;Basket
29/03/14;3556.16;Calcio
29/03/14;16954.46;Casual
29/03/14;1527.69;Pesca
29/03/14;7777.65;Running
30/03/14;1704.26;Basket
30/03/14;5754.1;Calcio
30/03/14;21049.05;Casual
30/03/14;7488.65;Fitness
30/03/14;2603.47;Pesca
30/03/14;10506.65;Running
31/03/14;1589.64;Bambino
31/03/14;953.79;Basket
31/03/14;10136.05;Calcio
31/03/14;29660.68;Casual
31/03/14;15722.04;Fitness
31/03/14;896.48;Nuoto
31/03/14;4704.52;Pesca
31/03/14;791.41;Rugby
31/03/14;22440.51;Running
31/03/14;4038.92;Snowboard
01/04/14;10462.71;Calcio
01/04/14;20359.16;Casual
01/04/14;4466.01;Fitness
01/04/14;1799.23;Pesca
01/04/14;10997.87;Running
02/04/14;736.83;Bambino
02/04/14;953.79;Basket
02/04/14;6079.12;Calcio
02/04/14;14655.55;Casual
02/04/14;9632.55;Fitness
02/04/14;135.09;Nuoto
02/04/14;15770.89;Pesca
02/04/14;12088.82;Running
03/04/14;2454.74;Basket
03/04/14;116123.59;Calcio
03/04/14;9979.95;Casual
03/04/14;6714.16;Fitness
03/04/14;544.44;Nuoto
03/04/14;11011.19;Running
04/04/14;878.74;Bambino
04/04/14;750.48;Basket
04/04/14;12157.7;Calcio
04/04/14;19277.66;Casual
04/04/14;1532.06;Fitness
04/04/14;10928.28;Pesca
04/04/14;17683.7;Running
04/04/14;1105.25;Sci
04/04/14;515.78;Tennis
05/04/14;120.08;Basket
05/04/14;14963.38;Calcio
05/04/14;16533.1;Casual
05/04/14;8392.77;Fitness
05/04/14;1182.61;Pesca
05/04/14;544.44;Rugby
05/04/14;8434.9;Running
06/04/14;407.99;Bambino
06/04/14;8418.69;Calcio
06/04/14;21762.68;Casual
06/04/14;4017.63;Fitness
06/04/14;26053.76;Running
06/04/14;564.9;Volley
07/04/14;9938.47;Calcio
07/04/14;24400.53;Casual
07/04/14;6312.18;Fitness
07/04/14;862.91;Nuoto
07/04/14;6743.9;Pesca
07/04/14;791.41;Rugby
07/04/14;3902.47;Running
08/04/14;1663.33;Basket
08/04/14;11496.73;Calcio
08/04/14;18134.75;Casual
08/04/14;10501.19;Fitness
08/04/14;601.74;Mare
08/04/14;3037.92;Pesca
08/04/14;2974.61;Running
09/04/14;10193.63;Calcio
09/04/14;10710.23;Casual
09/04/14;18183.19;Fitness
09/04/14;1466.84;Nuoto
09/04/14;4170.73;Pesca
09/04/14;5949.22;Running
10/04/14;783.22;Bambino
10/04/14;953.79;Basket
10/04/14;13166.33;Calcio
10/04/14;12257.85;Casual
10/04/14;7704.24;Fitness
10/04/14;1032.93;Nuoto
10/04/14;1622.12;Pesca
10/04/14;7354.66;Running
10/04/14;666.69;Trekking
11/04/14;1500.95;Basket
11/04/14;29105.06;Calcio
11/04/14;9587.25;Casual
11/04/14;7399.82;Fitness
11/04/14;2492.12;Mare
11/04/14;1832.8;Nuoto
11/04/14;4699.07;Pesca
11/04/14;3001.9;Rugby
11/04/14;8624.95;Running
11/04/14;571.18;Snowboard
12/04/14;1361.77;Bambino
12/04/14;953.79;Basket
12/04/14;10057.18;Calcio
12/04/14;18798.44;Casual
12/04/14;6606.91;Fitness
12/04/14;2166.28;Pesca
12/04/14;11470.31;Running
12/04/14;508.41;Tennis
13/04/14;816.65;Bambino
13/04/14;953.79;Basket
13/04/14;7611.45;Calcio
13/04/14;19197.15;Casual
13/04/14;45.44;Fitness
13/04/14;537.89;Mare
13/04/14;618.94;Pesca
14/04/14;1460.02;Basket
14/04/14;14044.25;Calcio
14/04/14;17450.04;Casual
14/04/14;23782.01;Fitness
14/04/14;2468.65;Pesca
14/04/14;4963.83;Running
15/04/14;953.79;Basket
15/04/14;13586.6;Calcio
15/04/14;7776.56;Casual
15/04/14;2254.43;Fitness
15/04/14;6952.4;Pesca
15/04/14;14559;Running
16/04/14;1704.26;Basket
16/04/14;8868.7;Calcio
16/04/14;16032.88;Casual
16/04/14;2320.47;Fitness
16/04/14;5794.21;Pesca
16/04/14;3602.28;Running
16/04/14;1105.25;Sci
17/04/14;750.48;Basket
17/04/14;10365.01;Calcio
17/04/14;12349.27;Casual
17/04/14;582.1;Fitness
17/04/14;672.97;Nuoto
17/04/14;1604.65;Pesca
17/04/14;2578.91;Running
18/04/14;1372.69;Bambino
18/04/14;7154.07;Calcio
18/04/14;8064.47;Casual
18/04/14;9305.34;Fitness
18/04/14;2036.11;Pesca
18/04/14;4418.25;Running
19/04/14;2454.74;Basket
19/04/14;9084.84;Calcio
19/04/14;10708.87;Casual
19/04/14;2496.08;Fitness
19/04/14;1466.84;Nuoto
19/04/14;4042.19;Pesca
19/04/14;3763.29;Running
19/04/14;1416.9;Snowboard
19/04/14;3192.93;Subacquea
20/04/14;979.98;Bambino
20/04/14;3205.21;Casual
20/04/14;1637.4;Fitness
20/04/14;579.64;Pesca
21/04/14;1069.77;Calcio
21/04/14;6692.05;Casual
21/04/14;2023.83;Fitness
21/04/14;5155.08;Pesca
21/04/14;7037.87;Running
22/04/14;953.79;Basket
22/04/14;4269.52;Calcio
22/04/14;13675.84;Casual
22/04/14;3273.3;Fitness
22/04/14;1716.81;Tennis
23/04/14;2108.15;Calcio
23/04/14;8644.65;Casual
23/04/14;658.23;Danza
23/04/14;4866.9;Fitness
23/04/14;271.54;Nuoto
23/04/14;1716.81;Pattini
23/04/14;5354.3;Pesca
24/04/14;2401.52;Basket
24/04/14;9177.35;Calcio
24/04/14;8044.82;Casual
24/04/14;929.22;Fitness
24/04/14;675.43;Nuoto
24/04/14;1500.95;Rugby
24/04/14;955.15;Running
25/04/14;2866.81;Calcio
25/04/14;5851.52;Casual
25/04/14;6852.52;Pesca
26/04/14;2413.8;Calcio
26/04/14;2165.46;Casual
26/04/14;5098.86;Pesca
26/04/14;5949.22;Running
27/04/14;953.79;Basket
27/04/14;417.54;Calcio
27/04/14;7169.08;Casual
27/04/14;2471.11;Fitness
27/04/14;896.48;Mare
27/04/14;272.79;Running
28/04/14;9034.08;Calcio
28/04/14;8855.06;Casual
28/04/14;1193.94;Fitness
28/04/14;2494.17;Pesca
29/04/14;6347.38;Calcio
29/04/14;7859.79;Casual
29/04/14;6571.43;Fitness
29/04/14;734.37;Mare
29/04/14;2352.94;Pesca
29/04/14;6601.45;Running
30/04/14;979.98;Bambino
30/04/14;1361.77;Basket
30/04/14;3411.8;Calcio
30/04/14;11451.84;Casual
30/04/14;1745.2;Fitness
30/04/14;1906.21;Nuoto
30/04/14;3013.63;Pesca
30/04/14;6112.96;Running
01/05/14;953.79;Basket
01/05/14;2313.65;Calcio
01/05/14;7203.2;Casual
01/05/14;4643.67;Fitness
01/05/14;8159.49;Running
01/05/14;488.76;Subacquea
02/05/14;6808.31;Calcio
02/05/14;9536.22;Casual
02/05/14;6502.12;Fitness
02/05/14;6938.76;Pesca
02/05/14;1500.95;Rugby
02/05/14;6413.04;Running
03/05/14;6446.44;Calcio
03/05/14;4989.7;Casual
03/05/14;4763.74;Fitness
03/05/14;857.18;Mare
03/05/14;1069.77;Nuoto
03/05/14;2835.7;Pesca
03/05/14;953.24;Running
04/05/14;38950.47;Calcio
04/05/14;9346.55;Casual
04/05/14;2849.62;Fitness
04/05/14;589.46;Mare
04/05/14;7847.24;Pesca
04/05/14;1226.69;Rugby
04/05/14;709.32;Running
04/05/14;1842.08;Sci
04/05/14;147.37;Tennis
05/05/14;20791.98;Calcio
05/05/14;15388.83;Casual
05/05/14;5505.48;Fitness
05/05/14;857.18;Mare
05/05/14;911.76;Nuoto
05/05/14;1871.55;Pesca
05/05/14;1801.14;Running
06/05/14;1719.41;Bambino
06/05/14;1131.17;Basket
06/05/14;7815.58;Calcio
06/05/14;26716.91;Casual
06/05/14;12433.6;Fitness
06/05/14;567.63;Nuoto
06/05/14;4964.32;Pesca
06/05/14;2454.74;Rugby
07/05/14;979.98;Bambino
07/05/14;815.97;Basket
07/05/14;7287.79;Calcio
07/05/14;8728.71;Casual
07/05/14;8469.32;Fitness
07/05/14;633.67;Nuoto
07/05/14;12885.38;Pesca
07/05/14;2126.33;Running
08/05/14;1716.81;Basket
08/05/14;13582.78;Calcio
08/05/14;14526.47;Casual
08/05/14;9402.28;Fitness
08/05/14;4217.12;Pesca
08/05/14;1593.74;Running
09/05/14;2945.96;Basket
09/05/14;4875.63;Calcio
09/05/14;8818.76;Casual
09/05/14;7866.89;Fitness
09/05/14;297.46;Nuoto
09/05/14;586.19;Pesca
09/05/14;2292.36;Rugby
09/05/14;3272.07;Running
09/05/14;654.96;Sci
09/05/14;292.28;Subacquea
10/05/14;953.79;Basket
10/05/14;6690.42;Calcio
10/05/14;15003.5;Casual
10/05/14;4030.19;Fitness
10/05/14;1220.41;Mare
10/05/14;846.26;Nuoto
10/05/14;1210.86;Pesca
10/05/14;7368.3;Running
10/05/14;972.62;Tennis
11/05/14;750.48;Basket
11/05/14;1668.24;Calcio
11/05/14;12496.09;Casual
11/05/14;2593.64;Fitness
11/05/14;66.86;Nuoto
11/05/14;5218.39;Pesca
11/05/14;13642.16;Running
11/05/14;666.69;Trekking
12/05/14;271.54;Bambino
12/05/14;7937.02;Calcio
12/05/14;10036.17;Casual
12/05/14;3474.02;Fitness
12/05/14;367.05;Nuoto
12/05/14;15941.45;Pesca
12/05/14;1226.69;Rugby
12/05/14;5539.87;Running
12/05/14;488.76;Subacquea
13/05/14;5698.42;Basket
13/05/14;9233.3;Calcio
13/05/14;13974.94;Casual
13/05/14;244.52;Ciclismo
13/05/14;3114.66;Fitness
13/05/14;267.71;Nuoto
13/05/14;5929.3;Pesca
13/05/14;3028.97;Running
14/05/14;8248.35;Calcio
14/05/14;3708.17;Casual
14/05/14;4961.32;Fitness
14/05/14;857.18;Mare
14/05/14;3115.97;Pesca
14/05/14;4855.71;Running
15/05/14;979.98;Bambino
15/05/14;11984.13;Calcio
15/05/14;11364.1;Casual
15/05/14;3543.61;Fitness
15/05/14;3100.96;Pesca
15/05/14;10141.24;Running
15/05/14;10261.04;Snowboard
16/05/14;1471.2;Basket
16/05/14;5639.21;Calcio
16/05/14;9340;Casual
16/05/14;2858.63;Fitness
16/05/14;429.82;Mare
16/05/14;433.91;Nuoto
16/05/14;3075.04;Pesca
17/05/14;709.54;Basket
17/05/14;4364.76;Calcio
17/05/14;12587.79;Casual
17/05/14;6316.13;Fitness
17/05/14;734.37;Mare
17/05/14;1496.04;Pesca
17/05/14;4625.66;Running
17/05/14;2208.03;Snowboard
17/05/14;515.78;Subacquea
17/05/14;147.37;Tennis
18/05/14;1131.17;Basket
18/05/14;4005.35;Calcio
18/05/14;10732.61;Casual
18/05/14;4214.37;Fitness
18/05/14;1802.78;Pesca
18/05/14;2838.16;Running
19/05/14;8017.26;Calcio
19/05/14;8780.83;Casual
19/05/14;216.14;Ciclismo
19/05/14;4981.79;Fitness
19/05/14;486.31;Mare
19/05/14;3731.91;Nuoto
19/05/14;10946.84;Pesca
19/05/14;4800.58;Running
19/05/14;537.89;Subacquea
20/05/14;979.98;Bambino
20/05/14;953.79;Basket
20/05/14;10189.54;Calcio
20/05/14;9993.05;Casual
20/05/14;7689.78;Fitness
20/05/14;5889.73;Pesca
20/05/14;7600.27;Running
21/05/14;2154.55;Basket
21/05/14;18939.81;Calcio
21/05/14;8461.54;Casual
21/05/14;479.89;Fitness
21/05/14;1591.55;Mare
21/05/14;243.15;Nuoto
21/05/14;8269.69;Running
21/05/14;830.16;Subacquea
22/05/14;1959.97;Bambino
22/05/14;2671.96;Basket
22/05/14;22874.21;Calcio
22/05/14;14200.9;Casual
22/05/14;547.44;Ciclismo
22/05/14;8666.35;Fitness
22/05/14;977.53;Mare
22/05/14;1481.85;Nuoto
22/05/14;2123.71;Pesca
22/05/14;1500.95;Rugby
22/05/14;436.53;Running
23/05/14;4137.16;Basket
23/05/14;6226.21;Calcio
23/05/14;14380.74;Casual
23/05/14;16538.56;Fitness
23/05/14;1296.82;Mare
23/05/14;835.07;Nuoto
23/05/14;630.4;Pesca
23/05/14;743.65;Rugby
23/05/14;3122.25;Running
24/05/14;564.9;Basket
24/05/14;10750.62;Calcio
24/05/14;10526.3;Casual
24/05/14;704.35;Ciclismo
24/05/14;6069.57;Fitness
24/05/14;540.34;Nuoto
24/05/14;900.57;Pesca
24/05/14;2974.61;Running
24/05/14;1129.81;Snowboard
25/05/14;3947.77;Calcio
25/05/14;6230.85;Casual
25/05/14;362.68;Fitness
25/05/14;1257.52;Pesca
25/05/14;1030.2;Rugby
25/05/14;2046.75;Running
25/05/14;614.03;Volley
26/05/14;5442.44;Calcio
26/05/14;4740.14;Casual
26/05/14;561.08;Ciclismo
26/05/14;1154.37;Fitness
26/05/14;1151.91;Mare
26/05/14;309.74;Nuoto
26/05/14;9279.83;Pesca
26/05/14;3519.05;Rugby
26/05/14;2180.25;Running
26/05/14;2087.69;Trekking
27/05/14;271.54;Bambino
27/05/14;750.48;Basket
27/05/14;23823.62;Calcio
27/05/14;4966.23;Casual
27/05/14;3542.51;Fitness
27/05/14;638.59;Pesca
27/05/14;1226.69;Rugby
27/05/14;11598.25;Running
27/05/14;1105.25;Subacquea
27/05/14;559.99;Tennis
28/05/14;709.54;Basket
28/05/14;7325.73;Calcio
28/05/14;12961.39;Casual
28/05/14;1496.86;Fitness
28/05/14;4659.22;Pesca
28/05/14;4118.06;Running
29/05/14;1471.2;Basket
29/05/14;5006.08;Calcio
29/05/14;4336.38;Casual
29/05/14;1301.73;Fitness
29/05/14;488.76;Mare
29/05/14;734.37;Nuoto
29/05/14;3507.04;Pesca
29/05/14;1226.69;Rugby
29/05/14;1594.01;Subacquea
30/05/14;2754.93;Calcio
30/05/14;4305.54;Casual
30/05/14;1329.98;Pesca
30/05/14;4085.31;Running
30/05/14;584.55;Subacquea
31/05/14;2504.13;Calcio
31/05/14;7353.84;Casual
31/05/14;6716.34;Fitness
31/05/14;798.23;Nuoto
31/05/14;3514.68;Pesca
31/05/14;221.05;Tennis
01/06/14;2812.51;Calcio
01/06/14;7919.01;Casual
01/06/14;1160.62;Fitness
01/06/14;11915.09;Pesca
01/06/14;4502.85;Running
01/06/14;736.83;Tennis
02/06/14;1663.33;Basket
02/06/14;8667.85;Calcio
02/06/14;13737.79;Casual
02/06/14;3968.24;Fitness
02/06/14;3188.02;Mare
02/06/14;977.53;Nuoto
02/06/14;1760.48;Pesca
02/06/14;1634.67;Running
02/06/14;4052.57;Subacquea
02/06/14;442.1;Tennis
03/06/14;488.76;Bambino
03/06/14;8022.99;Calcio
03/06/14;6689.32;Casual
03/06/14;1323.84;Mare
03/06/14;5373.67;Pesca
03/06/14;2769.94;Running
03/06/14;3740.64;Subacquea
04/06/14;17816.28;Calcio
04/06/14;6481.65;Casual
04/06/14;1646.92;Fitness
04/06/14;1850.53;Mare
04/06/14;189.67;Nuoto
04/06/14;2114.98;Pesca
04/06/14;9551.77;Running
04/06/14;2045.11;Snowboard
05/06/14;1105.25;Basket
05/06/14;5012.63;Calcio
05/06/14;2644.4;Casual
05/06/14;1995.58;Fitness
05/06/14;1890.65;Pesca
05/06/14;660.69;Running
06/06/14;1648.32;Calcio
06/06/14;11002.78;Casual
06/06/14;4740.27;Fitness
06/06/14;1763.75;Mare
06/06/14;2573.99;Pesca
06/06/14;903.84;Subacquea
07/06/14;723.19;Bambino
07/06/14;1663.33;Basket
07/06/14;4506.94;Calcio
07/06/14;12291.69;Casual
07/06/14;1008.64;Ciclismo
07/06/14;2020.33;Fitness
07/06/14;316.84;Nuoto
07/06/14;557.53;Pesca
07/06/14;1771.12;Rugby
07/06/14;2401.52;Running
07/06/14;564.9;Volley
08/06/14;12921.27;Calcio
08/06/14;5927.52;Casual
08/06/14;5452.54;Fitness
08/06/14;2510.41;Pesca
08/06/14;4639.3;Running
09/06/14;16130.85;Calcio
09/06/14;9026.44;Casual
09/06/14;1388.52;Ciclismo
09/06/14;4631.39;Fitness
09/06/14;466.66;Mare
09/06/14;1237.87;Nuoto
09/06/14;5500.85;Pesca
09/06/14;1771.12;Rugby
09/06/14;5266.97;Running
